 Q11 Q12 Q21 Q22
 0.109366e-02 0.109366e-02 0.109366e-02 0.109366e-02
 0.105461e-02 0.105461e-02 0.105461e-02 0.105461e-02
 0.101820e-02 0.101820e-02 0.101820e-02 0.101820e-02
 0.984186e-03 0.984186e-03 0.984186e-03 0.984186e-03
 0.952362e-03 0.952362e-03 0.952362e-03 0.952362e-03
 0.922540e-03 0.922540e-03 0.922540e-03 0.922540e-03
 0.894551e-03 0.894551e-03 0.894551e-03 0.894551e-03
 0.868246e-03 0.868246e-03 0.868246e-03 0.868246e-03
 0.843487e-03 0.843487e-03 0.843487e-03 0.843487e-03
 0.820153e-03 0.820153e-03 0.820153e-03 0.820153e-03
 0.798132e-03 0.798132e-03 0.798132e-03 0.798132e-03
 0.777325e-03 0.777325e-03 0.777325e-03 0.777325e-03
 0.757641e-03 0.757641e-03 0.757641e-03 0.757641e-03
 0.738997e-03 0.738997e-03 0.738997e-03 0.738997e-03
 0.721318e-03 0.721318e-03 0.721318e-03 0.721318e-03
 0.704535e-03 0.704535e-03 0.704535e-03 0.704535e-03
 0.688587e-03 0.688587e-03 0.688587e-03 0.688587e-03
 0.673416e-03 0.673416e-03 0.673416e-03 0.673416e-03
 0.658969e-03 0.658969e-03 0.658969e-03 0.658969e-03
 0.645199e-03 0.645199e-03 0.645199e-03 0.645199e-03
 0.632061e-03 0.632061e-03 0.632061e-03 0.632061e-03
 0.619516e-03 0.619516e-03 0.619516e-03 0.619516e-03
 0.607526e-03 0.607526e-03 0.607526e-03 0.607526e-03
 0.596055e-03 0.596055e-03 0.596055e-03 0.596055e-03
 0.585074e-03 0.585074e-03 0.585074e-03 0.585074e-03
 0.574552e-03 0.574552e-03 0.574552e-03 0.574552e-03
 0.564462e-03 0.564462e-03 0.564462e-03 0.564462e-03
 0.554778e-03 0.554778e-03 0.554778e-03 0.554778e-03
 0.545479e-03 0.545479e-03 0.545479e-03 0.545479e-03
 0.536541e-03 0.536541e-03 0.536541e-03 0.536541e-03
 0.527946e-03 0.527946e-03 0.527946e-03 0.527946e-03
 0.519673e-03 0.519673e-03 0.519673e-03 0.519673e-03
 0.511706e-03 0.511706e-03 0.511706e-03 0.511706e-03
 0.504029e-03 0.504029e-03 0.504029e-03 0.504029e-03
 0.496625e-03 0.496625e-03 0.496625e-03 0.496625e-03
 0.489482e-03 0.489482e-03 0.489482e-03 0.489482e-03
 0.482585e-03 0.482585e-03 0.482585e-03 0.482585e-03
 0.475923e-03 0.475923e-03 0.475923e-03 0.475923e-03
 0.469483e-03 0.469483e-03 0.469483e-03 0.469483e-03
 0.463256e-03 0.463256e-03 0.463256e-03 0.463256e-03
 0.457229e-03 0.457229e-03 0.457229e-03 0.457229e-03
 0.451395e-03 0.451395e-03 0.451395e-03 0.451395e-03
 0.445744e-03 0.445744e-03 0.445744e-03 0.445744e-03
 0.440268e-03 0.440268e-03 0.440268e-03 0.440268e-03
 0.434957e-03 0.434957e-03 0.434957e-03 0.434957e-03
 0.429806e-03 0.429806e-03 0.429806e-03 0.429806e-03
 0.424807e-03 0.424807e-03 0.424807e-03 0.424807e-03
 0.419953e-03 0.419953e-03 0.419953e-03 0.419953e-03
 0.415238e-03 0.415238e-03 0.415238e-03 0.415238e-03
 0.410656e-03 0.410656e-03 0.410656e-03 0.410656e-03
 0.406201e-03 0.406201e-03 0.406201e-03 0.406201e-03
 0.401869e-03 0.401869e-03 0.401869e-03 0.401869e-03
 0.397653e-03 0.397653e-03 0.397653e-03 0.397653e-03
 0.393549e-03 0.393549e-03 0.393549e-03 0.393549e-03
 0.389553e-03 0.389553e-03 0.389553e-03 0.389553e-03
 0.385661e-03 0.385661e-03 0.385661e-03 0.385661e-03
 0.381867e-03 0.381867e-03 0.381867e-03 0.381867e-03
 0.378170e-03 0.378170e-03 0.378170e-03 0.378170e-03
 0.374563e-03 0.374563e-03 0.374563e-03 0.374563e-03
 0.371046e-03 0.371046e-03 0.371046e-03 0.371046e-03
 0.367613e-03 0.367613e-03 0.367613e-03 0.367613e-03
 0.364262e-03 0.364262e-03 0.364262e-03 0.364262e-03
 0.360990e-03 0.360990e-03 0.360990e-03 0.360990e-03
 0.357793e-03 0.357793e-03 0.357793e-03 0.357793e-03
 0.354670e-03 0.354670e-03 0.354670e-03 0.354670e-03
 0.351618e-03 0.351618e-03 0.351618e-03 0.351618e-03
 0.348633e-03 0.348633e-03 0.348633e-03 0.348633e-03
 0.345715e-03 0.345715e-03 0.345715e-03 0.345715e-03
 0.342860e-03 0.342860e-03 0.342860e-03 0.342860e-03
 0.340066e-03 0.340066e-03 0.340066e-03 0.340066e-03
 0.337332e-03 0.337332e-03 0.337332e-03 0.337332e-03
 0.334655e-03 0.334655e-03 0.334655e-03 0.334655e-03
