 R11 R12 R21 R22
 -0.649181e-03 -0.649181e-03 -0.649181e-03 -0.649181e-03
 -0.644455e-03 -0.644455e-03 -0.644455e-03 -0.644455e-03
 -0.639801e-03 -0.639801e-03 -0.639801e-03 -0.639801e-03
 -0.635216e-03 -0.635216e-03 -0.635216e-03 -0.635216e-03
 -0.630699e-03 -0.630699e-03 -0.630699e-03 -0.630699e-03
 -0.626248e-03 -0.626248e-03 -0.626248e-03 -0.626248e-03
 -0.621862e-03 -0.621862e-03 -0.621862e-03 -0.621862e-03
 -0.617539e-03 -0.617539e-03 -0.617539e-03 -0.617539e-03
 -0.613279e-03 -0.613279e-03 -0.613279e-03 -0.613279e-03
 -0.609079e-03 -0.609079e-03 -0.609079e-03 -0.609079e-03
 -0.604939e-03 -0.604939e-03 -0.604939e-03 -0.604939e-03
 -0.600857e-03 -0.600857e-03 -0.600857e-03 -0.600857e-03
 -0.596833e-03 -0.596833e-03 -0.596833e-03 -0.596833e-03
 -0.592863e-03 -0.592863e-03 -0.592863e-03 -0.592863e-03
 -0.588949e-03 -0.588949e-03 -0.588949e-03 -0.588949e-03
 -0.585088e-03 -0.585088e-03 -0.585088e-03 -0.585088e-03
 -0.581279e-03 -0.581279e-03 -0.581279e-03 -0.581279e-03
 -0.577522e-03 -0.577522e-03 -0.577522e-03 -0.577522e-03
 -0.573814e-03 -0.573814e-03 -0.573814e-03 -0.573814e-03
 -0.570156e-03 -0.570156e-03 -0.570156e-03 -0.570156e-03
 -0.566547e-03 -0.566547e-03 -0.566547e-03 -0.566547e-03
 -0.562985e-03 -0.562985e-03 -0.562985e-03 -0.562985e-03
 -0.559469e-03 -0.559469e-03 -0.559469e-03 -0.559469e-03
 -0.555998e-03 -0.555998e-03 -0.555998e-03 -0.555998e-03
 -0.552572e-03 -0.552572e-03 -0.552572e-03 -0.552572e-03
 -0.549190e-03 -0.549190e-03 -0.549190e-03 -0.549190e-03
 -0.545851e-03 -0.545851e-03 -0.545851e-03 -0.545851e-03
 -0.542553e-03 -0.542553e-03 -0.542553e-03 -0.542553e-03
 -0.539297e-03 -0.539297e-03 -0.539297e-03 -0.539297e-03
 -0.536082e-03 -0.536082e-03 -0.536082e-03 -0.536082e-03
 -0.532906e-03 -0.532906e-03 -0.532906e-03 -0.532906e-03
 -0.529769e-03 -0.529769e-03 -0.529769e-03 -0.529769e-03
 -0.526670e-03 -0.526670e-03 -0.526670e-03 -0.526670e-03
 -0.523609e-03 -0.523609e-03 -0.523609e-03 -0.523609e-03
 -0.520585e-03 -0.520585e-03 -0.520585e-03 -0.520585e-03
 -0.517597e-03 -0.517597e-03 -0.517597e-03 -0.517597e-03
 -0.514644e-03 -0.514644e-03 -0.514644e-03 -0.514644e-03
 -0.511727e-03 -0.511727e-03 -0.511727e-03 -0.511727e-03
 -0.508843e-03 -0.508843e-03 -0.508843e-03 -0.508843e-03
 -0.505993e-03 -0.505993e-03 -0.505993e-03 -0.505993e-03
 -0.503177e-03 -0.503177e-03 -0.503177e-03 -0.503177e-03
 -0.500393e-03 -0.500393e-03 -0.500393e-03 -0.500393e-03
 -0.497640e-03 -0.497640e-03 -0.497640e-03 -0.497640e-03
 -0.494919e-03 -0.494919e-03 -0.494919e-03 -0.494919e-03
 -0.492229e-03 -0.492229e-03 -0.492229e-03 -0.492229e-03
 -0.489570e-03 -0.489570e-03 -0.489570e-03 -0.489570e-03
 -0.486940e-03 -0.486940e-03 -0.486940e-03 -0.486940e-03
 -0.484339e-03 -0.484339e-03 -0.484339e-03 -0.484339e-03
 -0.481767e-03 -0.481767e-03 -0.481767e-03 -0.481767e-03
 -0.479223e-03 -0.479223e-03 -0.479223e-03 -0.479223e-03
 -0.476707e-03 -0.476707e-03 -0.476707e-03 -0.476707e-03
 -0.474219e-03 -0.474219e-03 -0.474219e-03 -0.474219e-03
 -0.471757e-03 -0.471757e-03 -0.471757e-03 -0.471757e-03
 -0.469322e-03 -0.469322e-03 -0.469322e-03 -0.469322e-03
 -0.466913e-03 -0.466913e-03 -0.466913e-03 -0.466913e-03
 -0.464527e-03 -0.464527e-03 -0.464527e-03 -0.464527e-03
 -0.462172e-03 -0.462172e-03 -0.462172e-03 -0.462172e-03
 -0.459838e-03 -0.459838e-03 -0.459838e-03 -0.459838e-03
 -0.457529e-03 -0.457529e-03 -0.457529e-03 -0.457529e-03
 -0.455244e-03 -0.455244e-03 -0.455244e-03 -0.455244e-03
 -0.452983e-03 -0.452983e-03 -0.452983e-03 -0.452983e-03
 -0.450745e-03 -0.450745e-03 -0.450745e-03 -0.450745e-03
 -0.448530e-03 -0.448530e-03 -0.448530e-03 -0.448530e-03
 -0.446337e-03 -0.446337e-03 -0.446337e-03 -0.446337e-03
 -0.444167e-03 -0.444167e-03 -0.444167e-03 -0.444167e-03
 -0.442018e-03 -0.442018e-03 -0.442018e-03 -0.442018e-03
 -0.439891e-03 -0.439891e-03 -0.439891e-03 -0.439891e-03
 -0.437785e-03 -0.437785e-03 -0.437785e-03 -0.437785e-03
 -0.435700e-03 -0.435700e-03 -0.435700e-03 -0.435700e-03
 -0.433636e-03 -0.433636e-03 -0.433636e-03 -0.433636e-03
 -0.431592e-03 -0.431592e-03 -0.431592e-03 -0.431592e-03
 -0.429568e-03 -0.429568e-03 -0.429568e-03 -0.429568e-03
 -0.427563e-03 -0.427563e-03 -0.427563e-03 -0.427563e-03
 -0.425578e-03 -0.425578e-03 -0.425578e-03 -0.425578e-03
 -0.135181e+01 -0.135181e+01 -0.135181e+01 -0.135181e+01
 -0.141088e+01 -0.141088e+01 -0.141088e+01 -0.141088e+01
 -0.106677e+01 -0.106677e+01 -0.106677e+01 -0.106677e+01
 -0.736999e+00 -0.736999e+00 -0.736999e+00 -0.736999e+00
 -0.475287e+00 -0.475287e+00 -0.475287e+00 -0.475287e+00
