 R11 R12 R21 R22
 -0.201633e+02 -0.201633e+02 -0.201633e+02 -0.201633e+02
 -0.154055e+02 -0.154055e+02 -0.154055e+02 -0.154055e+02
 -0.120095e+02 -0.120095e+02 -0.120095e+02 -0.120095e+02
 -0.952291e+01 -0.952291e+01 -0.952291e+01 -0.952291e+01
 -0.766136e+01 -0.766136e+01 -0.766136e+01 -0.766136e+01
 -0.624116e+01 -0.624116e+01 -0.624116e+01 -0.624116e+01
 -0.513948e+01 -0.513948e+01 -0.513948e+01 -0.513948e+01
 -0.427238e+01 -0.427238e+01 -0.427238e+01 -0.427238e+01
 -0.358096e+01 -0.358096e+01 -0.358096e+01 -0.358096e+01
 -0.302311e+01 -0.302311e+01 -0.302311e+01 -0.302311e+01
 -0.256809e+01 -0.256809e+01 -0.256809e+01 -0.256809e+01
 -0.219398e+01 -0.219398e+01 -0.219398e+01 -0.219398e+01
 -0.188318e+01 -0.188318e+01 -0.188318e+01 -0.188318e+01
 -0.162336e+01 -0.162336e+01 -0.162336e+01 -0.162336e+01
 -0.140447e+01 -0.140447e+01 -0.140447e+01 -0.140447e+01
 -0.121880e+01 -0.121880e+01 -0.121880e+01 -0.121880e+01
 -0.106042e+01 -0.106042e+01 -0.106042e+01 -0.106042e+01
 -0.924599e+00 -0.924599e+00 -0.924599e+00 -0.924599e+00
 -0.807543e+00 -0.807543e+00 -0.807543e+00 -0.807543e+00
 -0.706144e+00 -0.706144e+00 -0.706144e+00 -0.706144e+00
 -0.617897e+00 -0.617897e+00 -0.617897e+00 -0.617897e+00
 -0.553113e+00 -0.553113e+00 -0.553113e+00 -0.553113e+00
 -0.496649e+00 -0.496649e+00 -0.496649e+00 -0.496649e+00
 -0.447405e+00 -0.447405e+00 -0.447405e+00 -0.447405e+00
 -0.404197e+00 -0.404197e+00 -0.404197e+00 -0.404197e+00
 -0.366208e+00 -0.366208e+00 -0.366208e+00 -0.366208e+00
 -0.332693e+00 -0.332693e+00 -0.332693e+00 -0.332693e+00
 -0.302990e+00 -0.302990e+00 -0.302990e+00 -0.302990e+00
 -0.276607e+00 -0.276607e+00 -0.276607e+00 -0.276607e+00
 -0.253110e+00 -0.253110e+00 -0.253110e+00 -0.253110e+00
 -0.232123e+00 -0.232123e+00 -0.232123e+00 -0.232123e+00
 -0.213329e+00 -0.213329e+00 -0.213329e+00 -0.213329e+00
 -0.196452e+00 -0.196452e+00 -0.196452e+00 -0.196452e+00
 -0.181261e+00 -0.181261e+00 -0.181261e+00 -0.181261e+00
 -0.167561e+00 -0.167561e+00 -0.167561e+00 -0.167561e+00
 -0.155173e+00 -0.155173e+00 -0.155173e+00 -0.155173e+00
 -0.143948e+00 -0.143948e+00 -0.143948e+00 -0.143948e+00
 -0.133758e+00 -0.133758e+00 -0.133758e+00 -0.133758e+00
 -0.124487e+00 -0.124487e+00 -0.124487e+00 -0.124487e+00
 -0.116038e+00 -0.116038e+00 -0.116038e+00 -0.116038e+00
 -0.108323e+00 -0.108323e+00 -0.108323e+00 -0.108323e+00
 -0.101266e+00 -0.101266e+00 -0.101266e+00 -0.101266e+00
 -0.947995e-01 -0.947995e-01 -0.947995e-01 -0.947995e-01
 -0.888653e-01 -0.888653e-01 -0.888653e-01 -0.888653e-01
 -0.834100e-01 -0.834100e-01 -0.834100e-01 -0.834100e-01
 -0.783883e-01 -0.783883e-01 -0.783883e-01 -0.783883e-01
 -0.737582e-01 -0.737582e-01 -0.737582e-01 -0.737582e-01
 -0.694836e-01 -0.694836e-01 -0.694836e-01 -0.694836e-01
 -0.655311e-01 -0.655311e-01 -0.655311e-01 -0.655311e-01
 -0.618718e-01 -0.618718e-01 -0.618718e-01 -0.618718e-01
 -0.584795e-01 -0.584795e-01 -0.584795e-01 -0.584795e-01
 -0.483910e-01 -0.483910e-01 -0.483910e-01 -0.483910e-01
 -0.355746e-01 -0.355746e-01 -0.355746e-01 -0.355746e-01
 -0.265036e-01 -0.265036e-01 -0.265036e-01 -0.265036e-01
 -0.202127e-01 -0.202127e-01 -0.202127e-01 -0.202127e-01
 -0.157296e-01 -0.157296e-01 -0.157296e-01 -0.157296e-01
 -0.124585e-01 -0.124585e-01 -0.124585e-01 -0.124585e-01
 -0.100219e-01 -0.100219e-01 -0.100219e-01 -0.100219e-01
 -0.817353e-02 -0.817353e-02 -0.817353e-02 -0.817353e-02
 -0.674842e-02 -0.674842e-02 -0.674842e-02 -0.674842e-02
 -0.563354e-02 -0.563354e-02 -0.563354e-02 -0.563354e-02
 -0.474987e-02 -0.474987e-02 -0.474987e-02 -0.474987e-02
 -0.404110e-02 -0.404110e-02 -0.404110e-02 -0.404110e-02
 -0.346643e-02 -0.346643e-02 -0.346643e-02 -0.346643e-02
 -0.299589e-02 -0.299589e-02 -0.299589e-02 -0.299589e-02
 -0.260709e-02 -0.260709e-02 -0.260709e-02 -0.260709e-02
 -0.228315e-02 -0.228315e-02 -0.228315e-02 -0.228315e-02
 -0.201117e-02 -0.201117e-02 -0.201117e-02 -0.201117e-02
 -0.178117e-02 -0.178117e-02 -0.178117e-02 -0.178117e-02
 -0.158539e-02 -0.158539e-02 -0.158539e-02 -0.158539e-02
