 log(Tmax/T) T/MeV k/T
 0.578539e-01 0.943788e+10 0.320696e+00
 0.578539e-01 0.943788e+10 0.331211e+00
 0.578539e-01 0.943788e+10 0.341725e+00
 0.578539e-01 0.943788e+10 0.352240e+00
 0.578539e-01 0.943788e+10 0.362754e+00
 0.578539e-01 0.943788e+10 0.373269e+00
 0.578539e-01 0.943788e+10 0.383784e+00
 0.578539e-01 0.943788e+10 0.394298e+00
 0.578539e-01 0.943788e+10 0.404813e+00
 0.578539e-01 0.943788e+10 0.415328e+00
 0.578539e-01 0.943788e+10 0.425842e+00
 0.578539e-01 0.943788e+10 0.436357e+00
 0.578539e-01 0.943788e+10 0.446871e+00
 0.578539e-01 0.943788e+10 0.457386e+00
 0.578539e-01 0.943788e+10 0.467901e+00
 0.578539e-01 0.943788e+10 0.478415e+00
 0.578539e-01 0.943788e+10 0.488930e+00
 0.578539e-01 0.943788e+10 0.499444e+00
 0.578539e-01 0.943788e+10 0.509959e+00
 0.578539e-01 0.943788e+10 0.520474e+00
 0.578539e-01 0.943788e+10 0.530988e+00
 0.578539e-01 0.943788e+10 0.541503e+00
 0.578539e-01 0.943788e+10 0.552018e+00
 0.578539e-01 0.943788e+10 0.562532e+00
 0.578539e-01 0.943788e+10 0.573047e+00
 0.578539e-01 0.943788e+10 0.583561e+00
 0.578539e-01 0.943788e+10 0.594076e+00
 0.578539e-01 0.943788e+10 0.604591e+00
 0.578539e-01 0.943788e+10 0.615105e+00
 0.578539e-01 0.943788e+10 0.625620e+00
 0.578539e-01 0.943788e+10 0.662421e+00
 0.578539e-01 0.943788e+10 0.725509e+00
 0.578539e-01 0.943788e+10 0.788597e+00
 0.578539e-01 0.943788e+10 0.851684e+00
 0.578539e-01 0.943788e+10 0.914772e+00
 0.578539e-01 0.943788e+10 0.977860e+00
 0.578539e-01 0.943788e+10 0.104095e+01
 0.578539e-01 0.943788e+10 0.110404e+01
 0.578539e-01 0.943788e+10 0.116712e+01
 0.578539e-01 0.943788e+10 0.123021e+01
 0.578539e-01 0.943788e+10 0.129330e+01
 0.578539e-01 0.943788e+10 0.135639e+01
 0.578539e-01 0.943788e+10 0.141947e+01
 0.578539e-01 0.943788e+10 0.148256e+01
 0.578539e-01 0.943788e+10 0.154565e+01
 0.578539e-01 0.943788e+10 0.160874e+01
 0.578539e-01 0.943788e+10 0.167182e+01
 0.578539e-01 0.943788e+10 0.173491e+01
 0.578539e-01 0.943788e+10 0.179800e+01
 0.578539e-01 0.943788e+10 0.186109e+01
 0.578539e-01 0.943788e+10 0.192418e+01
 0.578539e-01 0.943788e+10 0.198726e+01
 0.578539e-01 0.943788e+10 0.205035e+01
 0.578539e-01 0.943788e+10 0.211344e+01
 0.578539e-01 0.943788e+10 0.217653e+01
 0.578539e-01 0.943788e+10 0.223961e+01
 0.578539e-01 0.943788e+10 0.230270e+01
 0.578539e-01 0.943788e+10 0.236579e+01
 0.578539e-01 0.943788e+10 0.242888e+01
 0.578539e-01 0.943788e+10 0.249197e+01
 0.578539e-01 0.943788e+10 0.255505e+01
 0.578539e-01 0.943788e+10 0.261814e+01
 0.578539e-01 0.943788e+10 0.268123e+01
 0.578539e-01 0.943788e+10 0.274432e+01
 0.578539e-01 0.943788e+10 0.280740e+01
 0.578539e-01 0.943788e+10 0.287049e+01
 0.578539e-01 0.943788e+10 0.293358e+01
 0.578539e-01 0.943788e+10 0.299667e+01
 0.578539e-01 0.943788e+10 0.305975e+01
