M_GeV T_GeV <g1>/T
5.000000000000000000e-01 4.977023564332108663e+02 8.763343381694578549e-03
5.000000000000000000e-01 5.094138014816380178e+02 8.763343941383606311e-03
5.000000000000000000e-01 5.214008287999683944e+02 8.760354466490094527e-03
5.000000000000000000e-01 5.336699231206307559e+02 8.760354976075218625e-03
5.000000000000000000e-01 5.462277217684342077e+02 8.760355462510010377e-03
5.000000000000000000e-01 5.590810182512223037e+02 8.755948222093903541e-03
5.000000000000000000e-01 5.722367659350220492e+02 8.755948665029081660e-03
5.000000000000000000e-01 5.857020818056666940e+02 8.750255569402192249e-03
5.000000000000000000e-01 5.994842503189408944e+02 8.750255972754868161e-03
5.000000000000000000e-01 6.135907273413175744e+02 8.750256357781439551e-03
5.000000000000000000e-01 6.280291441834252737e+02 8.743398151690808667e-03
5.000000000000000000e-01 6.428073117284319551e+02 8.743398502338114997e-03
5.000000000000000000e-01 6.579332246575681893e+02 8.735499812863131708e-03
5.000000000000000000e-01 6.734150657750820983e+02 8.735500132211982890e-03
5.000000000000000000e-01 6.892612104349694846e+02 8.735500437050239958e-03
5.000000000000000000e-01 7.054802310718645231e+02 8.726671641098398408e-03
5.000000000000000000e-01 7.220809018385464242e+02 8.726671918748225149e-03
5.000000000000000000e-01 7.390722033525775032e+02 8.717024475374673953e-03
5.000000000000000000e-01 7.564633275546290179e+02 8.717024728272114789e-03
5.000000000000000000e-01 7.742636826811269657e+02 8.717024969677671792e-03
5.000000000000000000e-01 7.924828983539168803e+02 8.706640467908789704e-03
5.000000000000000000e-01 8.111308307896872520e+02 8.706640687799941866e-03
5.000000000000000000e-01 8.302175681319744172e+02 8.695614126347006589e-03
5.000000000000000000e-01 8.497534359086438371e+02 8.695614326644465764e-03
5.000000000000000000e-01 8.697490026177833897e+02 8.695614517839768409e-03
5.000000000000000000e-01 8.902150854450383122e+02 8.684024667868325137e-03
5.000000000000000000e-01 9.111627561154896284e+02 8.684024842033281899e-03
5.000000000000000000e-01 9.326033468832199560e+02 8.671939546148588196e-03
5.000000000000000000e-01 9.545484566618337112e+02 8.671939704802482038e-03
5.000000000000000000e-01 9.770099572992256753e+02 8.671939856246389799e-03
5.000000000000000000e-01 1.000000000000000000e+03 8.659438595724865476e-03
5.000000000000000000e-01 1.000000000000000000e+03 8.659438595724865476e-03
5.000000000000000000e-01 1.097498765493055544e+03 8.646558912460512031e-03
5.000000000000000000e-01 1.204503540258781186e+03 8.619911177808364453e-03
5.000000000000000000e-01 1.321941148466028608e+03 8.592351514490470868e-03
5.000000000000000000e-01 1.450828778495938650e+03 8.578321748960148971e-03
5.000000000000000000e-01 1.592282793341090610e+03 8.549923628646467419e-03
5.000000000000000000e-01 1.747528400007682876e+03 8.535598988916998781e-03
5.000000000000000000e-01 1.917910261672486740e+03 8.506810384543489131e-03
5.000000000000000000e-01 2.104904144512019684e+03 8.477939055156955700e-03
5.000000000000000000e-01 2.310129700083157786e+03 8.463508543491001998e-03
5.000000000000000000e-01 2.535364493970108924e+03 8.434711989846835692e-03
5.000000000000000000e-01 2.782559402207123185e+03 8.420367067419083987e-03
5.000000000000000000e-01 3.053855508833412387e+03 8.391814915461344795e-03
5.000000000000000000e-01 3.351602650938840725e+03 8.363327769647462342e-03
5.000000000000000000e-01 3.678379771828630510e+03 8.349168807019680810e-03
5.000000000000000000e-01 4.037017258596553802e+03 8.321059981043214121e-03
5.000000000000000000e-01 4.430621457583877600e+03 8.293245390865395042e-03
5.000000000000000000e-01 4.862601580065348571e+03 8.279459781911410049e-03
5.000000000000000000e-01 5.336699231206307559e+03 8.252123096740837660e-03
5.000000000000000000e-01 5.857020818056661483e+03 8.238576574963390325e-03
5.000000000000000000e-01 6.428073117284318869e+03 8.211738747827046492e-03
5.000000000000000000e-01 7.054802310718638182e+03 8.185229863093654301e-03
5.000000000000000000e-01 7.742636826811270112e+03 8.171947057032131340e-03
5.000000000000000000e-01 8.497534359086437689e+03 8.145606168594221597e-03
5.000000000000000000e-01 9.326033468832189101e+03 8.132561920034581462e-03
5.000000000000000000e-01 1.023531021899026928e+04 8.106724326740063005e-03
5.000000000000000000e-01 1.123324032978026480e+04 8.081226533696686185e-03
5.000000000000000000e-01 1.232846739442065882e+04 8.068602844073029592e-03
5.000000000000000000e-01 1.353047774579807628e+04 8.043601851313267326e-03
5.000000000000000000e-01 1.484968262254463480e+04 8.031218551431545949e-03
5.000000000000000000e-01 1.629750834620643400e+04 8.006702982108013927e-03
5.000000000000000000e-01 1.788649529057435211e+04 7.982502961767251604e-03
5.000000000000000000e-01 1.963040650040268520e+04 7.970517742469589162e-03
5.000000000000000000e-01 2.154434690031882201e+04 7.946781329379782113e-03
5.000000000000000000e-01 2.364489412645406992e+04 7.935023937099957778e-03
5.000000000000000000e-01 2.595024211399731939e+04 7.911738875867697571e-03
5.000000000000000000e-01 2.848035868435799057e+04 7.888747636553297693e-03
5.000000000000000000e-01 3.125715849688235176e+04 7.877358725215189220e-03
5.000000000000000000e-01 3.430469286314912461e+04 7.854795233193887297e-03
5.000000000000000000e-01 3.764935806792470976e+04 7.832510092101861721e-03
5.000000000000000000e-01 4.132012400115334458e+04 7.821471900272975938e-03
5.000000000000000000e-01 4.534878508128582325e+04 7.799594042850761973e-03
5.000000000000000000e-01 4.977023564332113892e+04 7.788758274946069177e-03
5.000000000000000000e-01 5.462277217684336938e+04 7.767166494654264425e-03
5.000000000000000000e-01 5.994842503189409035e+04 7.745783531516507031e-03
5.000000000000000000e-01 6.579332246575682075e+04 7.735185681218160331e-03
5.000000000000000000e-01 7.220809018385456875e+04 7.714183797703682080e-03
5.000000000000000000e-01 7.924828983539169712e+04 7.703774074988404413e-03
5.000000000000000000e-01 8.697490026177834079e+04 7.683141916746552037e-03
5.000000000000000000e-01 9.545484566618327517e+04 7.662747061766526056e-03
5.000000000000000000e-01 1.047615752789664111e+05 7.652641136287493401e-03
5.000000000000000000e-01 1.149756995397735591e+05 7.632598264137243314e-03
5.000000000000000000e-01 1.261856883066018490e+05 7.622664292871960540e-03
5.000000000000000000e-01 1.384886371393871668e+05 7.602965375918140957e-03
5.000000000000000000e-01 1.519911082952933211e+05 7.583489410228360511e-03
5.000000000000000000e-01 1.668100537200059043e+05 7.573791325743607292e-03
5.000000000000000000e-01 1.830738280295369623e+05 7.554491125358359961e-03
5.000000000000000000e-01 2.009233002565045899e+05 7.544920137581050817e-03
5.000000000000000000e-01 2.205130739903045469e+05 7.525938543575294397e-03
5.000000000000000000e-01 2.420128264794383431e+05 7.507162505700335289e-03
5.000000000000000000e-01 2.656087782946684165e+05 7.497853689631866006e-03
5.000000000000000000e-01 2.915053062825175584e+05 7.479384476164751237e-03
5.000000000000000000e-01 3.199267137797384639e+05 7.461117227083063040e-03
5.000000000000000000e-01 3.511191734215127653e+05 7.452057752354421596e-03
5.000000000000000000e-01 3.853528593710527639e+05 7.434081716133323151e-03
5.000000000000000000e-01 4.229242874389498611e+05 7.425162873072846566e-03
5.000000000000000000e-01 4.641588833612772287e+05 7.407470023243224386e-03
5.000000000000000000e-01 5.094138014816375216e+05 7.389959991866383061e-03
5.000000000000000000e-01 5.590810182512222091e+05 7.381280409419780676e-03
5.000000000000000000e-01 6.135907273413175717e+05 7.363914641030580230e-03
5.000000000000000000e-01 6.734150657750827959e+05 7.355235107033596294e-03
5.000000000000000000e-01 7.390722033525775187e+05 7.338013227710886606e-03
5.000000000000000000e-01 8.111308307896872284e+05 7.320968401076457382e-03
5.000000000000000000e-01 8.902150854450393235e+05 7.312508847799767571e-03
5.000000000000000000e-01 9.770099572992246831e+05 7.295723695924000336e-03
5.000000000000000000e-01 1.072267222010323079e+06 7.287392736326239739e-03
