M_GeV T_GeV <S1>/T
2.000000000000000000e+04 4.750810162102798131e+02 8.375147483342627597e-01
2.000000000000000000e+04 4.862601580065353346e+02 8.182602485075298748e-01
2.000000000000000000e+04 4.977023564332108663e+02 7.994484104539955061e-01
2.000000000000000000e+04 5.094138014816380178e+02 7.810690573605912901e-01
2.000000000000000000e+04 5.214008287999683944e+02 7.631122463796177202e-01
2.000000000000000000e+04 5.336699231206307559e+02 7.455682632498663587e-01
2.000000000000000000e+04 5.462277217684342077e+02 7.284276170414090146e-01
2.000000000000000000e+04 5.590810182512223037e+02 7.116810350212036118e-01
2.000000000000000000e+04 5.722367659350220492e+02 6.953194576367341950e-01
2.000000000000000000e+04 5.857020818056666940e+02 6.793340336149865655e-01
2.000000000000000000e+04 5.994842503189408944e+02 6.637161151740886833e-01
2.000000000000000000e+04 6.135907273413175744e+02 6.484572533450436715e-01
2.000000000000000000e+04 6.280291441834252737e+02 6.335491934010142323e-01
2.000000000000000000e+04 6.428073117284319551e+02 6.189838703916837881e-01
2.000000000000000000e+04 6.579332246575681893e+02 6.047534047802878288e-01
2.000000000000000000e+04 6.734150657750820983e+02 5.908500981809503561e-01
2.000000000000000000e+04 6.892612104349694846e+02 5.772664291940134973e-01
2.000000000000000000e+04 7.054802310718645231e+02 5.639950493371189699e-01
2.000000000000000000e+04 7.220809018385464242e+02 5.510287790698332744e-01
2.000000000000000000e+04 7.390722033525775032e+02 5.383606039096622276e-01
2.000000000000000000e+04 7.564633275546290179e+02 5.259836706373639537e-01
2.000000000000000000e+04 7.742636826811269657e+02 5.138912835895008691e-01
2.000000000000000000e+04 7.924828983539168803e+02 5.020769010362224893e-01
2.000000000000000000e+04 8.111308307896872520e+02 4.905341316423268427e-01
2.000000000000000000e+04 8.302175681319744172e+02 4.792567310096824129e-01
2.000000000000000000e+04 8.497534359086438371e+02 4.682385982991363327e-01
2.000000000000000000e+04 8.697490026177833897e+02 4.574737729300880629e-01
2.000000000000000000e+04 8.902150854450383122e+02 4.469564313559409308e-01
2.000000000000000000e+04 9.111627561154896284e+02 4.366808839136816500e-01
2.000000000000000000e+04 9.326033468832199560e+02 4.266415717458941770e-01
2.000000000000000000e+04 9.545484566618337112e+02 4.168330637935306338e-01
2.000000000000000000e+04 9.770099572992256753e+02 4.072500538578223139e-01
2.000000000000000000e+04 1.000000000000000000e+03 3.978873577297383779e-01
2.000000000000000000e+04 1.000000000000000000e+03 3.978873577297383779e-01
2.000000000000000000e+04 1.097498765493055544e+03 3.625401414925382149e-01
2.000000000000000000e+04 1.204503540258781186e+03 3.303330745248406752e-01
2.000000000000000000e+04 1.321941148466028608e+03 3.009871946201569393e-01
2.000000000000000000e+04 1.450828778495938650e+03 2.742483218055715155e-01
2.000000000000000000e+04 1.592282793341090610e+03 2.498848567564121992e-01
2.000000000000000000e+04 1.747528400007682876e+03 2.276857747936966991e-01
2.000000000000000000e+04 1.917910261672486740e+03 2.074587980893153050e-01
2.000000000000000000e+04 2.104904144512019684e+03 1.759186360468875943e-01
2.000000000000000000e+04 2.310129700083157786e+03 1.598464549252443245e-01
2.000000000000000000e+04 2.535364493970108924e+03 1.452410190062078943e-01
2.000000000000000000e+04 2.782559402207123185e+03 1.319592381943393566e-01
2.000000000000000000e+04 3.053855508833412387e+03 1.199084330489245537e-01
2.000000000000000000e+04 3.351602650938840725e+03 1.089543283576630966e-01
2.000000000000000000e+04 3.678379771828630510e+03 9.897114639298400240e-02
2.000000000000000000e+04 4.037017258596553802e+03 8.986451541908101193e-02
2.000000000000000000e+04 4.430621457583877600e+03 8.151544248079070631e-02
2.000000000000000000e+04 4.862601580065348571e+03 7.382578776373599494e-02
2.000000000000000000e+04 5.336699231206307559e+03 6.671464969626313135e-02
2.000000000000000000e+04 5.857020818056661483e+03 6.009861075075900033e-02
2.000000000000000000e+04 6.428073117284318869e+03 5.391912581047818981e-02
2.000000000000000000e+04 7.054802310718638182e+03 4.812481398897077572e-02
2.000000000000000000e+04 7.742636826811270112e+03 4.268294567412597024e-02
2.000000000000000000e+04 8.497534359086437689e+03 3.757273365679821009e-02
2.000000000000000000e+04 9.326033468832189101e+03 3.279331723564797574e-02
2.000000000000000000e+04 1.023531021899026928e+04 2.834302308399526404e-02
2.000000000000000000e+04 1.123324032978026480e+04 2.424015481527242583e-02
2.000000000000000000e+04 1.232846739442065882e+04 2.050221366192132161e-02
2.000000000000000000e+04 1.353047774579807628e+04 1.713475024422109541e-02
2.000000000000000000e+04 1.484968262254463480e+04 1.415583091089638729e-02
2.000000000000000000e+04 1.629750834620643400e+04 1.156080588297106471e-02
2.000000000000000000e+04 1.788649529057435211e+04 9.346522797616387337e-03
2.000000000000000000e+04 1.963040650040268520e+04 7.499899301721403046e-03
2.000000000000000000e+04 2.154434690031882201e+04 5.994879102728670021e-03
2.000000000000000000e+04 2.364489412645406992e+04 4.811220441234251126e-03
2.000000000000000000e+04 2.595024211399731939e+04 3.912611246056164893e-03
2.000000000000000000e+04 2.848035868435799057e+04 3.269671738722161602e-03
2.000000000000000000e+04 3.125715849688235176e+04 2.844286541847620715e-03
2.000000000000000000e+04 3.430469286314912461e+04 2.541124723038389651e-03
2.000000000000000000e+04 3.764935806792470976e+04 2.264093993160421533e-03
2.000000000000000000e+04 4.132012400115334458e+04 2.012180576144328558e-03
2.000000000000000000e+04 4.534878508128582325e+04 1.781626401946498567e-03
2.000000000000000000e+04 4.977023564332113892e+04 1.574388902739640769e-03
2.000000000000000000e+04 5.462277217684336938e+04 1.386262233543401716e-03
2.000000000000000000e+04 5.994842503189409035e+04 1.217568359602918442e-03
2.000000000000000000e+04 6.579332246575682075e+04 1.067212784281402300e-03
2.000000000000000000e+04 7.220809018385456875e+04 9.325902153660061301e-04
