M_GeV T_GeV <g0>/T
1.000000000000000000e+00 1.232846739442065882e+04 1.017850447322568228e-02
1.000000000000000000e+00 1.353047774579807628e+04 1.014524259592215934e-02
1.000000000000000000e+00 1.484968262254463480e+04 1.012877234393095953e-02
1.000000000000000000e+00 1.629750834620643400e+04 1.009617374381521424e-02
1.000000000000000000e+00 1.788649529057435211e+04 1.006400840992117095e-02
1.000000000000000000e+00 1.963040650040268520e+04 1.004808318856743182e-02
1.000000000000000000e+00 2.154434690031882201e+04 1.001655337071347129e-02
1.000000000000000000e+00 2.364489412645407356e+04 1.000094078991540895e-02
1.000000000000000000e+00 2.595024211399731939e+04 9.970031587812023741e-03
1.000000000000000000e+00 2.848035868435799057e+04 9.939524900181503919e-03
1.000000000000000000e+00 3.125715849688235176e+04 9.924417710383140814e-03
1.000000000000000000e+00 3.430469286314912461e+04 9.894499816048174523e-03
1.000000000000000000e+00 3.764935806792470976e+04 9.864963818245012575e-03
1.000000000000000000e+00 4.132012400115334458e+04 9.850338165409094557e-03
1.000000000000000000e+00 4.534878508128582325e+04 9.821361475636905536e-03
1.000000000000000000e+00 4.977023564332113892e+04 9.807014721270981492e-03
1.000000000000000000e+00 5.462277217684336938e+04 9.778375230330154863e-03
1.000000000000000000e+00 5.994842503189409035e+04 9.749997463762361677e-03
1.000000000000000000e+00 6.579332246575682075e+04 9.735937183810310785e-03
1.000000000000000000e+00 7.220809018385456875e+04 9.708084972177422403e-03
1.000000000000000000e+00 7.924828983539169712e+04 9.694283634641413794e-03
1.000000000000000000e+00 8.697490026177834079e+04 9.666941200863071043e-03
1.000000000000000000e+00 9.545484566618327517e+04 9.639926277980296818e-03
1.000000000000000000e+00 1.047615752789664111e+05 9.626544403039125411e-03
1.000000000000000000e+00 1.149756995397735591e+05 9.600015109734705634e-03
1.000000000000000000e+00 1.261856883066018490e+05 9.586871624664341368e-03
1.000000000000000000e+00 1.384886371393871668e+05 9.560816603991165868e-03
1.000000000000000000e+00 1.519911082952933211e+05 9.535068206744552743e-03
1.000000000000000000e+00 1.668100537200059043e+05 9.522230060066081900e-03
1.000000000000000000e+00 1.830738280295369623e+05 9.496647327898021657e-03
1.000000000000000000e+00 2.009233002565045899e+05 9.483964936129688633e-03
1.000000000000000000e+00 2.205130739903045760e+05 9.458822918490650267e-03
1.000000000000000000e+00 2.420128264794383431e+05 9.433965878234565686e-03
1.000000000000000000e+00 2.656087782946684165e+05 9.421646847465259961e-03
1.000000000000000000e+00 2.915053062825175584e+05 9.397214282885708869e-03
1.000000000000000000e+00 3.199267137797384639e+05 9.373060895441103976e-03
1.000000000000000000e+00 3.511191734215127653e+05 9.361086637510656477e-03
1.000000000000000000e+00 3.853528593710527639e+05 9.337336367157283643e-03
1.000000000000000000e+00 4.229242874389499193e+05 9.325557478717012155e-03
1.000000000000000000e+00 4.641588833612772287e+05 9.302198780792927946e-03
1.000000000000000000e+00 5.094138014816375216e+05 9.279092945519701666e-03
1.000000000000000000e+00 5.590810182512222091e+05 9.267644191220043501e-03
1.000000000000000000e+00 6.135907273413175717e+05 9.244671597323594545e-03
1.000000000000000000e+00 6.734150657750827959e+05 9.233156768941999659e-03
1.000000000000000000e+00 7.390722033525775187e+05 9.210317587963270936e-03
1.000000000000000000e+00 8.111308307896872284e+05 9.187724802542630853e-03
1.000000000000000000e+00 8.902150854450393235e+05 9.176516452985790384e-03
1.000000000000000000e+00 9.770099572992246831e+05 9.154285902626178514e-03
1.000000000000000000e+00 1.072267222010323079e+06 9.143256211392605456e-03
1.000000000000000000e+00 1.176811952434999170e+06 9.121375767691990849e-03
1.000000000000000000e+00 1.291549665014882805e+06 9.099724438792066925e-03
1.000000000000000000e+00 1.417474162926804740e+06 9.088981991161567200e-03
1.000000000000000000e+00 1.555676143930472201e+06 9.067669102447713930e-03
1.000000000000000000e+00 1.707352647470688680e+06 9.057096698708407695e-03
1.000000000000000000e+00 1.873817422860383056e+06 9.036110519532297367e-03
1.000000000000000000e+00 2.056512308348651510e+06 9.015337723888280919e-03
1.000000000000000000e+00 2.257019719633921515e+06 9.005034153725572504e-03
1.000000000000000000e+00 2.477076355991709046e+06 8.984575757412564811e-03
1.000000000000000000e+00 2.718588242732940242e+06 8.974426805438352056e-03
1.000000000000000000e+00 2.983647240283340216e+06 8.954279741841661769e-03
1.000000000000000000e+00 3.274549162877731491e+06 8.934337007241438880e-03
1.000000000000000000e+00 3.593813663804625627e+06 8.924435702231267586e-03
1.000000000000000000e+00 3.944206059437655844e+06 8.904782402554316245e-03
1.000000000000000000e+00 4.328761281083061360e+06 8.885323791262687843e-03
1.000000000000000000e+00 4.750810162102793343e+06 8.875670276366881203e-03
1.000000000000000000e+00 5.214008287999684922e+06 8.856492042045433638e-03
1.000000000000000000e+00 5.722367659350220114e+06 8.846978258379097765e-03
1.000000000000000000e+00 6.280291441834246740e+06 8.828078114027079065e-03
1.000000000000000000e+00 6.892612104349695146e+06 8.809359693260987792e-03
1.000000000000000000e+00 7.564633275546290912e+06 8.800073127474359463e-03
1.000000000000000000e+00 8.302175681319751777e+06 8.781623988253665219e-03
1.000000000000000000e+00 9.111627561154887080e+06 8.772466401492880206e-03
1.000000000000000000e+00 1.000000000000000000e+07 8.754273673125862257e-03
2.000000000000000000e+00 1.000000000000000000e+02 2.452254833427965422e-02
2.000000000000000000e+00 1.023531021899025859e+02 2.363473175468279799e-02
2.000000000000000000e+00 1.047615752789664043e+02 2.286537284787136526e-02
2.000000000000000000e+00 1.072267222010323167e+02 2.197505527087393121e-02
2.000000000000000000e+00 1.097498765493055686e+02 2.109663515107156745e-02
2.000000000000000000e+00 1.123324032978026565e+02 2.025750544041897069e-02
2.000000000000000000e+00 1.149756995397735579e+02 1.947707079127697360e-02
2.000000000000000000e+00 1.176811952434997863e+02 1.877638812530244006e-02
2.000000000000000000e+00 1.204503540258782408e+02 1.815204325448825651e-02
2.000000000000000000e+00 1.232846739442065882e+02 1.759427289926628057e-02
2.000000000000000000e+00 1.261856883066019748e+02 1.711140542181251514e-02
2.000000000000000000e+00 1.291549665014883885e+02 1.665550016728213276e-02
2.000000000000000000e+00 1.321941148466028721e+02 1.624486308304543686e-02
2.000000000000000000e+00 1.353047774579807481e+02 1.588086116810631318e-02
2.000000000000000000e+00 1.384886371393873219e+02 1.559133169393934169e-02
2.000000000000000000e+00 1.417474162926804695e+02 1.530771539100895563e-02
2.000000000000000000e+00 1.450828778495940128e+02 1.524841155897915801e-02
2.000000000000000000e+00 1.484968262254465117e+02 1.546873335144687001e-02
2.000000000000000000e+00 1.519911082952933157e+02 1.483982243561794180e-02
2.000000000000000000e+00 1.555676143930472222e+02 1.378737138084819985e-02
2.000000000000000000e+00 1.592282793341092315e+02 1.268909062520277506e-02
2.000000000000000000e+00 1.629750834620643332e+02 1.153033299800735115e-02
2.000000000000000000e+00 1.668100537200059250e+02 1.099940262641576141e-02
2.000000000000000000e+00 1.707352647470690385e+02 1.090485872000179941e-02
2.000000000000000000e+00 1.747528400007682876e+02 1.081116988097392470e-02
2.000000000000000000e+00 1.788649529057435075e+02 1.074576291175991308e-02
2.000000000000000000e+00 1.830738280295367701e+02 1.070244471076642508e-02
2.000000000000000000e+00 1.873817422860383033e+02 1.068190497379116997e-02
2.000000000000000000e+00 1.917910261672488730e+02 1.066200812169521006e-02
2.000000000000000000e+00 1.963040650040270521e+02 1.065162947244530957e-02
2.000000000000000000e+00 2.009233002565045751e+02 1.064816703102962336e-02
2.000000000000000000e+00 2.056512308348651459e+02 1.064826923295747289e-02
2.000000000000000000e+00 2.104904144512019855e+02 1.065876007390251408e-02
2.000000000000000000e+00 2.154434690031882269e+02 1.065885487289453502e-02
2.000000000000000000e+00 2.205130739903045480e+02 1.069217024536907659e-02
2.000000000000000000e+00 2.257019719633919124e+02 1.069225901253482471e-02
2.000000000000000000e+00 2.310129700083157900e+02 1.069234394683657961e-02
2.000000000000000000e+00 2.364489412645407072e+02 1.073169534279242235e-02
2.000000000000000000e+00 2.420128264794381039e+02 1.073177385701326939e-02
2.000000000000000000e+00 2.477076355991711409e+02 1.077598541317551818e-02
2.000000000000000000e+00 2.535364493970111539e+02 1.077605784254635768e-02
2.000000000000000000e+00 2.595024211399737055e+02 1.077612710210480371e-02
2.000000000000000000e+00 2.656087782946686957e+02 1.082029361656780021e-02
2.000000000000000000e+00 2.718588242732940330e+02 1.082035732171410941e-02
2.000000000000000000e+00 2.782559402207126027e+02 1.086146237964243262e-02
2.000000000000000000e+00 2.848035868435802058e+02 1.086152074572701957e-02
2.000000000000000000e+00 2.915053062825175516e+02 1.086157653317057145e-02
2.000000000000000000e+00 2.983647240283340238e+02 1.090010384148308760e-02
2.000000000000000000e+00 3.053855508833415797e+02 1.090015486575993640e-02
2.000000000000000000e+00 3.125715849688235153e+02 1.093405685775900374e-02
2.000000000000000000e+00 3.199267137797384635e+02 1.093410346446390367e-02
2.000000000000000000e+00 3.274549162877728463e+02 1.096422945118169165e-02
2.000000000000000000e+00 3.351602650938841066e+02 1.096427201090913357e-02
2.000000000000000000e+00 3.430469286314919373e+02 1.096431267322304365e-02
2.000000000000000000e+00 3.511191734215130964e+02 1.099057576584519177e-02
2.000000000000000000e+00 3.593813663804625662e+02 1.099061288773256137e-02
2.000000000000000000e+00 3.678379771828634262e+02 1.101289885958681158e-02
2.000000000000000000e+00 3.764935806792467474e+02 1.101293274433563785e-02
2.000000000000000000e+00 3.853528593710527161e+02 1.101296511175004281e-02
2.000000000000000000e+00 3.944206059437656222e+02 1.102962411146497790e-02
2.000000000000000000e+00 4.037017258596553688e+02 1.102965362196999151e-02
2.000000000000000000e+00 4.132012400115334572e+02 1.104263608113339318e-02
2.000000000000000000e+00 4.229242874389498752e+02 1.104266298429215816e-02
2.000000000000000000e+00 4.328761281083056929e+02 1.104268867876511892e-02
2.000000000000000000e+00 4.430621457583877714e+02 1.105230004127859093e-02
2.000000000000000000e+00 4.534878508128581984e+02 1.105232346367503865e-02
2.000000000000000000e+00 4.641588833612777307e+02 1.105841016171291678e-02
2.000000000000000000e+00 4.750810162102798131e+02 1.105843150782238882e-02
2.000000000000000000e+00 4.862601580065353346e+02 1.105845189249111613e-02
2.000000000000000000e+00 4.977023564332108663e+02 1.106150352142275771e-02
2.000000000000000000e+00 5.094138014816380178e+02 1.106152209749969827e-02
2.000000000000000000e+00 5.214008287999683944e+02 1.106197492670775440e-02
2.000000000000000000e+00 5.336699231206307559e+02 1.106199185421492641e-02
2.000000000000000000e+00 5.462277217684342077e+02 1.106200801781911762e-02
2.000000000000000000e+00 5.590810182512223037e+02 1.106009919763582469e-02
2.000000000000000000e+00 5.722367659350220492e+02 1.106011392645148139e-02
2.000000000000000000e+00 5.857020818056666940e+02 1.105606812765776159e-02
2.000000000000000000e+00 5.994842503189408944e+02 1.105608154884691122e-02
2.000000000000000000e+00 6.135907273413175744e+02 1.105609436345372613e-02
2.000000000000000000e+00 6.280291441834252737e+02 1.105011655219759713e-02
2.000000000000000000e+00 6.428073117284319551e+02 1.105012822894118653e-02
2.000000000000000000e+00 6.579332246575681893e+02 1.104242416140350895e-02
2.000000000000000000e+00 6.734150657750820983e+02 1.104243480103046619e-02
2.000000000000000000e+00 6.892612104349694846e+02 1.104244495922448305e-02
2.000000000000000000e+00 7.054802310718645231e+02 1.103319821021589604e-02
2.000000000000000000e+00 7.220809018385464242e+02 1.103320746618827869e-02
2.000000000000000000e+00 7.390722033525775032e+02 1.102259887992972261e-02
2.000000000000000000e+00 7.564633275546290179e+02 1.102260731378060417e-02
2.000000000000000000e+00 7.742636826811269657e+02 1.102261536565544466e-02
2.000000000000000000e+00 7.924828983539169940e+02 1.101078274268960794e-02
2.000000000000000000e+00 8.111308307896872520e+02 1.101079007920772491e-02
2.000000000000000000e+00 8.302175681319744172e+02 1.099788525212043802e-02
2.000000000000000000e+00 8.497534359086438371e+02 1.099789193670483445e-02
2.000000000000000000e+00 8.697490026177833897e+02 1.099789831831858751e-02
2.000000000000000000e+00 8.902150854450383122e+02 1.098405127134527773e-02
2.000000000000000000e+00 9.111627561154896284e+02 1.098405708583544138e-02
2.000000000000000000e+00 9.326033468832199560e+02 1.096937821150092106e-02
2.000000000000000000e+00 9.545484566618337112e+02 1.096938350919694771e-02
2.000000000000000000e+00 9.770099572992256753e+02 1.096938856664320637e-02
2.000000000000000000e+00 1.000000000000000000e+03 1.095400593563661609e-02
2.000000000000000000e+00 1.000000000000000000e+03 1.095400593563661609e-02
2.000000000000000000e+00 1.097498765493055544e+03 1.093799301807630610e-02
2.000000000000000000e+00 1.204503540258781186e+03 1.090442149026420171e-02
2.000000000000000000e+00 1.321941148466028608e+03 1.086925412790158696e-02
2.000000000000000000e+00 1.450828778495938650e+03 1.085122487963639283e-02
2.000000000000000000e+00 1.592282793341090610e+03 1.081451500254688829e-02
2.000000000000000000e+00 1.747528400007682876e+03 1.079591509008493051e-02
2.000000000000000000e+00 1.917910261672486740e+03 1.075839192110238964e-02
2.000000000000000000e+00 2.104904144512019684e+03 1.072061463061444418e-02
2.000000000000000000e+00 2.310129700083158241e+03 1.070169222022281964e-02
2.000000000000000000e+00 2.535364493970108924e+03 1.066386001175184672e-02
2.000000000000000000e+00 2.782559402207123185e+03 1.064498647051977283e-02
2.000000000000000000e+00 3.053855508833412387e+03 1.060737661421616920e-02
2.000000000000000000e+00 3.351602650938840725e+03 1.056972051993658630e-02
2.000000000000000000e+00 3.678379771828630510e+03 1.055098619158220327e-02
2.000000000000000000e+00 4.037017258596553802e+03 1.051377232045093250e-02
2.000000000000000000e+00 4.430621457583877600e+03 1.047692837204830182e-02
2.000000000000000000e+00 4.862601580065348571e+03 1.045866360137013250e-02
2.000000000000000000e+00 5.336699231206307559e+03 1.042243949204970342e-02
2.000000000000000000e+00 5.857020818056661483e+03 1.040448679175606968e-02
2.000000000000000000e+00 6.428073117284318869e+03 1.036892018931818288e-02
2.000000000000000000e+00 7.054802310718638182e+03 1.033378862773162189e-02
2.000000000000000000e+00 7.742636826811270112e+03 1.031610478838713985e-02
