M_GeV T_GeV <hindp>/T
7.000000000000000000e+04 2.983647240283340216e+06 0.000000000000000000e+00
7.000000000000000000e+04 3.274549162877731491e+06 0.000000000000000000e+00
7.000000000000000000e+04 3.593813663804625627e+06 0.000000000000000000e+00
7.000000000000000000e+04 3.944206059437655844e+06 0.000000000000000000e+00
7.000000000000000000e+04 4.328761281083061360e+06 0.000000000000000000e+00
7.000000000000000000e+04 4.750810162102793343e+06 0.000000000000000000e+00
7.000000000000000000e+04 5.214008287999684922e+06 0.000000000000000000e+00
7.000000000000000000e+04 5.722367659350220114e+06 0.000000000000000000e+00
7.000000000000000000e+04 6.280291441834246740e+06 0.000000000000000000e+00
7.000000000000000000e+04 6.892612104349695146e+06 0.000000000000000000e+00
7.000000000000000000e+04 7.564633275546290912e+06 0.000000000000000000e+00
7.000000000000000000e+04 8.302175681319751777e+06 0.000000000000000000e+00
7.000000000000000000e+04 9.111627561154887080e+06 0.000000000000000000e+00
7.000000000000000000e+04 1.000000000000000000e+07 0.000000000000000000e+00
1.000000000000000000e+05 1.000000000000000000e+02 9.420797795458201113e-04
1.000000000000000000e+05 1.023531021899025859e+02 8.942858011006151863e-04
1.000000000000000000e+05 1.047615752789664043e+02 8.469921206990239882e-04
1.000000000000000000e+05 1.072267222010323167e+02 8.001735652432502609e-04
1.000000000000000000e+05 1.097498765493055686e+02 7.538052382255077581e-04
1.000000000000000000e+05 1.123324032978026565e+02 7.078625072948286148e-04
1.000000000000000000e+05 1.149756995397735579e+02 6.623209920337846425e-04
1.000000000000000000e+05 1.176811952434997863e+02 6.171565519711123696e-04
1.000000000000000000e+05 1.204503540258782408e+02 5.723452747453319908e-04
1.000000000000000000e+05 1.232846739442065882e+02 5.278634638686154458e-04
1.000000000000000000e+05 1.261856883066019748e+02 4.836876279359344295e-04
1.000000000000000000e+05 1.291549665014883885e+02 4.397944667758608810e-04
1.000000000000000000e+05 1.321941148466028721e+02 3.961608564615881753e-04
1.000000000000000000e+05 1.353047774579807481e+02 3.527638508428405971e-04
1.000000000000000000e+05 1.384886371393873219e+02 3.095806409543452094e-04
